                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    139,                 0.7012,                0.37605,                0.89524,                0.94266,                 0.9343,                0.94928,                0.59955,                 1.3534,                0.48994,                 1.2725,               0.003169,               0.003169,               0.003169
                    140,                0.69496,                0.37284,                0.89354,                0.94182,                0.93346,                0.94798,                0.59859,                 1.3527,                0.49042,                 1.2722,              0.0031195,              0.0031195,              0.0031195
                    141,                0.69361,                0.37201,                0.89158,                0.94189,                0.93346,                0.94797,                0.59898,                  1.352,                0.49012,                 1.2721,                0.00307,                0.00307,                0.00307
                    142,                 0.6862,                0.37179,                 0.8912,                0.94104,                0.93348,                0.94873,                0.59861,                 1.3507,                0.49093,                 1.2717,              0.0030205,              0.0030205,              0.0030205
                    143,                 0.6862,                0.36877,                0.88994,                0.94008,                0.93262,                  0.949,                0.59975,                 1.3503,                0.49055,                 1.2719,               0.002971,               0.002971,               0.002971
                    144,                0.68681,                0.37023,                0.88847,                0.93398,                0.94418,                0.95131,                0.60026,                 1.3491,                0.48981,                  1.272,              0.0029215,              0.0029215,              0.0029215
                    145,                0.68571,                0.36921,                0.88948,                0.94425,                 0.9343,                0.95118,                0.60073,                 1.3486,                0.48981,                 1.2716,               0.002872,               0.002872,               0.002872
                    146,                0.67722,                0.36318,                 0.8877,                0.93405,                0.94503,                0.95134,                0.60129,                 1.3478,                 0.4898,                 1.2715,              0.0028225,              0.0028225,              0.0028225
                    147,                0.67543,                0.36476,                0.88704,                0.93414,                0.94503,                0.95123,                0.60177,                 1.3467,                0.49072,                 1.2711,               0.002773,               0.002773,               0.002773
                    148,                0.67193,                0.36306,                0.88599,                0.93657,                0.94755,                0.95219,                0.60191,                 1.3457,                0.49019,                  1.271,              0.0027235,              0.0027235,              0.0027235
                    149,                0.67664,                0.36148,                0.88656,                0.93566,                0.94671,                0.95159,                0.60168,                 1.3445,                0.49102,                 1.2703,               0.002674,               0.002674,               0.002674
                    150,                0.66933,                0.36223,                0.88646,                0.93571,                0.94671,                0.95166,                0.60245,                 1.3441,                 0.4914,                 1.2702,              0.0026245,              0.0026245,              0.0026245
                    151,                0.66881,                0.36038,                0.88491,                0.93571,                0.94599,                0.95162,                0.60275,                 1.3429,                0.49146,                   1.27,               0.002575,               0.002575,               0.002575
